Chegada Partida,Natureza,Data,Empresa,Voo,Aeronave,Horário (Hora Local),Origem Destino,Assentos,Tipo de Serviço,Dia da Semana
Chegada,DOM,10/03/2026,Azul,6408,295,11:50,CGH,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4542,295,11:55,CWB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2905,295,11:55,SDU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4115,295,12:00,VDC,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4236,295,12:00,GRU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4016,295,12:05,GYN,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4814,AT7,12:05,UDI,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4693,32N,12:10,SSA,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,6123,AT7,12:15,UBA,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,6437,295,12:15,CGH,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,2050,73H,12:20,BPS,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3344,321,12:25,GRU,220,Voo Regular,Terça
Partida,INT,10/03/2026,Azul,8730,763,12:25,MCO,267,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul Conecta,5133,208,12:35,POJ,9,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4137,AT7,12:35,GNM,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2780,295,12:40,BSB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4851,295,12:40,CPV,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4179,AT7,12:45,UDI,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2867,295,12:50,GYN,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4912,295,12:50,IOS,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2739,295,12:55,CWB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4890,32N,12:55,REC,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2896,32N,13:00,FLN,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4321,295,13:00,VCP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul Conecta,5113,208,13:05,IAL,9,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4300,32N,13:05,SSA,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2607,295,13:10,VCP,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3309,321,13:10,GRU,220,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4709,AT7,13:15,IPN,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,5020,E95,13:15,CGH,118,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4293,AT7,13:15,MOC,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2893,32N,13:20,BPS,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul Conecta,5258,208,13:25,PYT,9,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,6061,295,13:35,CGH,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,6485,E95,13:50,CGH,118,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4283,32N,13:55,REC,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul Conecta,5192,208,14:00,JMA,9,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4436,295,14:00,GIG,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4331,AT7,14:05,REC,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4917,295,14:05,VCP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2562,32N,14:10,NAT,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,5080,AT7,14:10,GVR,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2649,32N,14:15,JPA,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4002,295,14:25,VIX,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3554,320,14:25,GRU,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,6077,295,14:25,CGH,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2545,32N,14:30,FOR,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2606,32N,14:40,BPS,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4117,295,14:50,SDU,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2757,32N,14:50,POA,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4246,32N,14:50,FOR,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4319,32N,14:55,THE,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,5031,295,15:05,GRU,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2539,32N,15:05,REC,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3555,320,15:05,GRU,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2575,32N,15:10,MCZ,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3916,320,15:25,CGH,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4330,AT7,15:40,REC,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,2051,73H,15:40,BPS,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4046,295,15:45,VCP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3722,320,15:55,BSB,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,6419,295,15:55,CGH,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4251,AT7,16:00,MOC,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4957,295,16:05,VCP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4180,AT7,16:10,UDI,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4721,295,16:10,BSB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3041,320,16:10,CGH,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4125,295,16:15,GYN,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1312,73H,16:20,CGH,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4609,295,16:25,IOS,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4317,AT7,16:25,IPN,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4797,E95,16:30,CGH,118,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul Conecta,5191,208,16:35,JMA,9,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4615,AT7,16:35,GVR,70,Voo Regular,Terça
Chegada,INT,10/03/2026,Tap,103,339,16:35,LIS,298,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1369,73H,16:35,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3933,320,16:35,CGH,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Sideral,9200,735,16:40,POA,52,Voo Extra,Terça
Chegada,DOM,10/03/2026,Azul,2740,295,16:50,CWB,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4437,295,16:50,GIG,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,6176,AT7,16:55,SJP,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3042,319,17:00,CGH,140,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2962,32N,17:10,SSA,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,6402,E95,17:10,CGH,118,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2947,295,17:10,CWB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1371,73H,17:10,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4799,295,17:15,BSB,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1955,73H,17:20,CKS,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,2052,73H,17:20,GIG,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2910,E95,17:20,VIX,118,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4470,AT7,17:20,MOC,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3556,320,17:25,GRU,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul Conecta,5194,208,17:25,DIQ,9,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2724,295,17:25,GRU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul Conecta,5259,208,17:30,PYT,9,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,6174,AT7,17:30,RAO,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1408,73H,17:35,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4751,295,17:35,SDU,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4227,295,17:40,GYN,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3049,319,17:40,CGH,140,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2626,32N,17:50,BPS,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4462,E95,17:55,CGH,118,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4852,32N,17:55,SSA,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,2059,73H,18:00,GIG,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4419,295,18:10,CGB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2627,295,18:10,GIG,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1405,73H,18:10,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3723,320,18:10,BSB,176,Voo Regular,Terça
Partida,INT,10/03/2026,Tap,104,339,18:10,LIS,298,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2639,295,18:15,VIX,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1705,73H,18:20,BSB,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4289,295,18:25,CPV,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4318,AT7,18:25,IPN,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul Conecta,5148,208,18:25,RRJ,9,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1324,73H,18:30,GRU,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2974,32N,18:35,BPS,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2930,32N,18:40,REC,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2880,295,18:50,GRU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1346,73H,19:00,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4142,AT7,19:05,IPN,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,5023,AT7,19:10,SSA,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3790,321,19:10,GRU,220,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1339,73H,19:10,GRU,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,5070,295,19:15,CGH,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2625,32N,19:20,REC,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul Conecta,5195,208,19:25,DIQ,9,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2920,E92,19:30,VCP,106,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2811,32N,19:35,BEL,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3590,321,19:45,POA,220,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2856,295,19:50,CGH,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1799,73H,19:50,CGH,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4577,32N,19:55,BEL,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1879,73H,19:55,SSA,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3046,320,19:55,CGH,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2950,E95,20:00,VIX,118,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3557,321,20:00,GRU,220,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2763,32N,20:05,POA,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2664,295,20:05,VIX,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4471,AT7,20:10,MOC,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2921,E92,20:10,VCP,106,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2576,32N,20:20,MCZ,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2935,295,20:25,SDU,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3591,321,20:30,POA,220,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4547,295,20:35,GRU,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3045,320,20:35,CGH,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4298,32N,20:40,THE,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1350,73H,20:40,CGH,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4521,295,20:45,BSB,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4787,32N,20:45,BEL,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1595,73H,20:45,GIG,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4267,32N,20:50,REC,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,6175,AT7,20:50,RAO,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4163,32N,20:55,MAO,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,6210,AT7,20:55,SJP,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2756,295,21:00,VIX,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4312,32N,21:00,FOR,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4752,295,21:00,GIG,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3948,320,21:00,CGH,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4455,32N,21:00,CGH,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2951,295,21:05,CWB,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4138,AT7,21:05,IPN,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2908,295,21:05,SDU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2643,295,21:15,VCP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4185,295,21:35,GYN,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4082,295,21:35,VCP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2975,32N,21:45,BPS,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4212,295,21:45,GRU,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4500,32N,21:45,BEL,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2573,32N,21:50,REC,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3724,321,21:50,BSB,220,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4061,295,21:50,CWB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4420,AT7,21:50,MOC,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4139,AT7,21:55,IPN,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2923,32N,22:00,POA,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4126,295,22:00,BSB,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4472,32N,22:05,SSA,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3126,320,22:10,CGH,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4225,295,22:15,FLN,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1718,73H,22:20,BSB,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,2088,73H,22:20,GIG,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2851,295,22:20,GYN,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2881,295,22:25,GRU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul Conecta,5149,208,22:35,RRJ,9,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1370,73H,22:35,CGH,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4484,295,22:40,VCP,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2612,32N,22:40,PVH,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2665,295,22:50,VIX,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4376,AT7,22:50,UDI,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2760,32N,22:55,FOR,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4438,32N,22:55,BEL,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2735,32N,23:10,SLZ,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4604,32N,23:10,REC,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2878,295,23:20,IMP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3092,320,23:25,CGH,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4085,32N,23:25,AJU,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4411,32N,23:25,MAB,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4110,295,23:30,GIG,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2752,295,23:35,SSA,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4412,295,23:35,VIX,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,4544,320,23:45,GRU,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4256,295,23:50,CGB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4259,32N,23:50,MCZ,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1338,73H,23:55,GRU,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4408,295,23:55,PMW,136,Voo Regular,Terça
Chegada,INT,11/03/2026,Copa,765,73H,00:20,PTY,160,Voo Regular,Quarta
Partida,INT,11/03/2026,Copa,734,73H,01:20,PTY,160,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4290,32N,05:00,MCZ,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4439,32N,05:00,BEL,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4257,295,05:05,CGB,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4409,295,05:05,PMW,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Latam,3561,320,05:05,GRU,176,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2879,295,05:10,IMP,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4088,32N,05:10,MAB,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2761,32N,05:15,FOR,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4605,32N,05:20,REC,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4414,32N,05:25,SLZ,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2817,32N,05:30,AJU,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Latam,3047,320,05:35,CGH,176,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2801,32N,06:00,REC,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Gol,2089,73H,06:00,GIG,186,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4188,295,06:05,VCP,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Latam,3725,320,06:05,BSB,176,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2474,32N,06:10,BPS,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4039,295,06:10,SDU,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Gol,1357,73H,06:20,GRU,186,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2696,32N,06:25,PVH,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Latam,3037,320,06:25,CGH,176,Voo Regular,Quarta
Partida,DOM,11/03/2026,Gol,1623,73H,06:30,BSB,186,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4029,AT7,06:45,IPN,70,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4377,AT7,06:50,UDI,70,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2604,295,06:55,BSB,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4060,295,06:55,CWB,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2957,295,07:00,GYN,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4553,295,07:00,SSA,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Gol,1311,73H,07:00,CGH,186,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4421,AT7,07:05,MOC,70,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4413,295,07:10,VIX,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4522,295,07:10,GRU,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Gol,2006,73H,07:10,GIG,186,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Latam,3453,321,07:10,POA,220,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2936,295,07:15,SDU,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4505,295,07:15,GIG,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2967,295,07:20,FLN,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4030,32N,07:20,CGH,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Latam,3052,320,07:20,CGH,176,Voo Regular,Quarta
Partida,DOM,11/03/2026,Latam,4712,321,07:20,GRU,220,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2909,32N,07:25,POA,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4043,295,07:30,VCP,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Gol,1300,73H,07:45,CGH,186,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4096,295,07:45,VCP,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2814,295,07:50,GRU,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Gol,1313,73H,07:55,CGH,186,Voo Regular,Quarta
Partida,DOM,11/03/2026,Latam,3454,321,07:55,POA,220,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2423,32N,08:00,NAT,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4066,32N,08:00,MAO,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Latam,3053,320,08:00,CGH,176,Voo Regular,Quarta
Chegada,INT,11/03/2026,Azul,8731,763,08:05,MCO,267,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2738,32N,08:05,SSA,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2857,295,08:05,CWB,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,4051,E95,08:10,SDU,118,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2759,295,08:10,VIX,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,5089,32N,08:10,REC,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2636,E95,08:15,CGH,118,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2948,295,08:15,SDU,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2875,AT7,08:20,GVR,70,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4223,295,08:20,GYN,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2647,32N,08:25,JPA,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4708,295,08:25,BSB,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,5033,AT7,08:30,BRA,70,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Gol,2042,73H,08:35,GIG,186,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4136,AT7,08:35,SSA,70,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4931,295,08:35,GIG,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2794,32N,08:40,FLN,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Latam,3036,320,08:45,CGH,176,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4114,295,08:45,VDC,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4244,AT7,08:45,UDI,70,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4005,32N,08:55,AJU,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Gol,1317,73H,08:55,CGH,186,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4729,32N,09:00,BEL,174,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2658,295,09:05,VCP,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul Conecta,5252,208,09:05,VAG,9,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul Conecta,5130,208,09:10,AAX,9,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2925,295,09:15,CGB,136,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,6122,AT7,09:15,UBA,70,Voo Regular,Quarta
Partida,DOM,11/03/2026,Gol,2008,73H,09:15,GIG,186,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Azul,2475,32N,09:25,BPS,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,6041,E95,09:25,CGH,118,Voo Regular,Quarta
Partida,DOM,11/03/2026,Latam,3039,320,09:25,CGH,176,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Latam,3552,321,09:30,GRU,220,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Gol,1304,73H,09:35,CGH,186,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4328,295,09:45,VCP,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Latam,3720,320,09:50,BSB,176,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,4800,32N,09:55,BEL,174,Voo Regular,Quarta
Partida,INT,11/03/2026,Gol,7792,73H,09:55,AEP,186,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Gol,1700,73H,10:00,BSB,186,Voo Regular,Quarta
Partida,DOM,11/03/2026,Azul,2892,32N,10:05,BPS,174,Voo Regular,Quarta
Partida,DOM,11/03/2026,Latam,3553,321,10:15,GRU,220,Voo Regular,Quarta
Partida,INT,11/03/2026,Azul,8724,295,10:15,MVD,136,Voo Regular,Quarta
Chegada,DOM,11/03/2026,Gol,1320,73H,10:30,GRU,186,Voo Regular,Quarta
